"","ESI_Key","competency","Self_LV","Direct_Report_LV","Peer_LV","Boss_LV","reputation_LV","arena_LV","Self_Avg","Direct_Report_Avg","Boss_Avg","Peer_Avg","Inf_Avg","All_Avg","BMK_S5_1_mean_all_rater"
"1",1330,"decisive",1.15582550270101,1.48818232212676,1.01953445614732,1.12923782242985,0.0619604752043008,2.29069860087094,3.66666666666667,4.11481481481481,4.66666666666667,4.26666666666667,4.34938271604938,4.1787037037037,4.66666666666667
"2",803,"decisive",0.691374029787976,1.65081140861761,0.814467329679043,0.959637450261604,0.00795205566443039,2.186876255119,3,4.13611111111111,4.33333333333333,3.8,4.08981481481482,3.81736111111111,4.13333333333333
"3",3431,"decisive",1.91236714938369,1.63485620311977,1.00202960504711,0.254981473137624,-0.0190296476381361,2.27137326774151,4.66666666666667,4.20833333333333,3.33333333333333,4.11111111111111,3.88425925925926,4.07986111111111,3.44444444444444
"4",1227,"decisive",1.07994774781766,1.80976320520046,1.2715847869823,0.685243959874264,0.0323574360112452,2.50459067623521,3.66666666666667,4.66666666666667,4.33333333333333,4.86666666666667,4.62222222222222,4.38333333333333,4.72222222222222
"5",5637,"decisive",1.88129673367884,1.78525303159656,1.14728560142188,0.955213946194831,0.0574639143532634,2.71443447265361,5,4.83333333333333,5,5,4.94444444444444,4.95833333333333,4.91666666666667
"6",3730,"decisive",1.51591499332654,1.53995517247628,1.26171754777377,0.518980644396963,0.0614620972198289,2.46158579622637,4.33333333333333,4.33333333333333,4,4.88888888888889,4.40740740740741,4.38888888888889,4.8
"7",2745,"decisive",1.37784399273541,1.60909444892556,0.9651820179789,1.07266826941045,0.0539538716655379,2.36287912142027,4,4.26666666666667,4.66666666666667,4.33333333333333,4.42222222222222,4.31666666666667,4.85
"8",3994,"decisive",1.29987364023914,1.86036296994569,0.780471729414551,1.1785882633366,0.0200015214573138,2.48016656364543,4,4.73333333333333,5,4.15740740740741,4.63024691358025,4.47268518518518,4.92592592592593
"9",3523,"decisive",0.710801082044755,2.05730415928008,0.95981628538898,0.684948195515974,0.0554855054890575,2.2574054149217,3,4.75555555555556,4,4.15,4.30185185185185,3.97638888888889,4.73333333333333
"10",7328,"decisive",1.78815464887465,2.05352122588866,0.990534412218151,0.484621815627097,0.101714949921473,2.45822078106773,4.66666666666667,5,4,4.5,4.5,4.54166666666667,4.83333333333333
"11",3038,"decisive",0.707168170924033,1.75160363066626,1.13001537998352,0.559201490968062,0.0763796421407867,2.17294786227064,3,4.31666666666667,3.66666666666667,4.33333333333333,4.10555555555556,3.82916666666667,4.61666666666667
"12",1469,"decisive",1.56583254285182,1.5952607833152,0.763190006485118,0.766596298524563,0.0192504908143587,2.08009604420096,4,4,3.83333333333333,3.58333333333333,3.80555555555556,3.85416666666667,3.72222222222222
"13",5052,"decisive",0.220974255055648,1.83552792386659,0.877971670028822,1.06192207588263,0.0161663628739658,2.29150655868982,2.33333333333333,4.5,4.66666666666667,4.08333333333333,4.41666666666667,3.89583333333333,4.58333333333333
"14",5463,"decisive",1.29811039166132,1.99864882893656,0.831120778236308,1.15498205057052,0.054049262703101,2.48281894251867,4,4.88888888888889,5,4.25,4.71296296296296,4.53472222222222,4.75
"15",4331,"decisive",1.59527364512584,0.852720891181364,0.834353823323979,0.751908965923205,0.0588905050232178,1.94588667805931,4,3.02777777777778,3.66666666666667,3.63888888888889,3.44444444444444,3.58333333333333,2.625
"16",2842,"decisive",1.65686567790406,1.71122780563406,1.04908069522778,0.573043458984537,-0.0240395156530426,2.34931219127957,4.33333333333333,4.22222222222222,4,4.29166666666667,4.1712962962963,4.21180555555556,4.72222222222222
"17",3352,"decisive",0.728243541365584,1.57591532023597,1.29216835420413,0.701687386002344,0.0644963693757963,2.23116747480268,3,4.125,4,4.55555555555556,4.22685185185185,3.92013888888889,4.41666666666667
"18",7893,"decisive",1.48735594031892,1.55389536585792,1.02245204024256,0.650191901886325,0.0442614209557181,2.1981450165465,4,4.08333333333333,3.83333333333333,4.13333333333333,4.01666666666667,4.0125,4.46666666666667
"19",4954,"decisive",1.2865536616529,1.700669643413,0.857093854613756,0.795838254104632,-0.0156997716876783,2.19380230082693,3.66666666666667,4.16666666666667,4,3.86666666666667,4.01111111111111,3.925,4.31111111111111
"20",2189,"decisive",0.925792377403337,1.89261349656881,0.929028406391224,0.911523058111367,0.0309853492880843,2.24040420410664,3.33333333333333,4.44444444444444,4.33333333333333,4,4.25925925925926,4.02777777777778,4.61111111111111
"21",1369,"quick",2.33734110050745,1.44784895876385,1.50821567643128,0.770932478576022,1.12553141117058,2.22624492298348,4.66666666666667,4.33333333333333,4,5,4.44444444444444,4.5,4.66666666666667
"22",825,"quick",1.9314464610446,2.07033248918961,1.08375569710908,1.1107515455515,1.09980381616972,1.90081429954366,4,4.75,4.25,4.22222222222222,4.40740740740741,4.30555555555556,4.72222222222222
"23",3560,"quick",1.68328155578653,1.53842860050153,1.38346625135677,0.919127703679732,1.19439697040151,1.68545565428564,3.66666666666667,4.16666666666667,4,4.66666666666667,4.27777777777778,4.125,4.83333333333333
"24",1266,"quick",1.9298893644726,1.60752314286744,1.56741504706496,0.80192157453028,1.19754903999434,1.90351853357155,4,4.33333333333333,4,5,4.44444444444444,4.33333333333333,4.5
"25",5906,"quick",1.4954745779483,1.96837041548275,1.17536337324171,-0.104292836312589,1.0281165522971,1.34417659169603,3,4.25,2.33333333333333,3.93333333333333,3.50555555555556,3.37916666666667,3.41666666666667
"26",3891,"quick",1.78503766039821,2.09154940329404,0.710381473752278,1.01420816769935,0.978974806366763,1.50873423213118,3.66666666666667,4.38333333333333,3.66666666666667,3.33333333333333,3.79444444444444,3.7625,3
"27",2829,"quick",1.82300636341357,1.81902257194665,0.99386739766924,1.43140707117726,1.04161532751256,2.18970489257633,4,4.6,4.66666666666667,4.19444444444444,4.48703703703704,4.36527777777778,4.76666666666667
"28",4172,"quick",2.5489031165736,2.10109584944606,0.893886297490223,1.53877681705583,1.13213914889846,2.14226455789057,5,5,5,4.2,4.73333333333333,4.8,4.6
"29",3665,"quick",1.6367785735156,1.64260770965157,1.29721835412062,1.45398253365493,1.09587533157408,2.02856495907992,3.66666666666667,4.33333333333333,4.66666666666667,4.55555555555556,4.51851851851852,4.30555555555556,4.80555555555556
"30",7715,"quick",1.6292861858066,1.99424029948562,1.08222260122534,1.02251639886358,1.14162429811213,1.77923025983902,3.66666666666667,4.66666666666667,4.16666666666667,4.26060606060606,4.36464646464646,4.19015151515152,4.92592592592593
"31",3143,"quick",1.91615024372735,1.57921461222642,1.19846037342907,0.984888787568266,1.02486847377384,1.92737947996408,4,4.11111111111111,4,4.31666666666667,4.14259259259259,4.10694444444444,4.11111111111111
"32",1510,"quick",2.1741093971826,1.71555145640541,0.871236445734396,1.65851950532004,1.02422028480425,2.14682415935299,4.66666666666667,4.44444444444444,5,4,4.48148148148148,4.52777777777778,4.66666666666667
"33",5275,"quick",2.49411310312049,1.88173285908581,1.36959328656627,0.526036842516824,1.14505813325847,1.85341555284794,4.66666666666667,4.55,3.66666666666667,4.63888888888889,4.28518518518518,4.38055555555556,3.65
"34",5735,"quick",2.10934632919705,1.97848791051642,1.52946004038975,0.598124683039225,1.24455229586114,1.85419965594517,4,4.77777777777778,4,5,4.59259259259259,4.44444444444444,4.31111111111111
"35",4529,"quick",1.60868148274127,1.37120303876381,1.31227337691643,0.721491528894839,0.990015769656681,1.81501477068161,3.66666666666667,3.80555555555556,3.66666666666667,4.33333333333333,3.93518518518519,3.86805555555556,4
"36",2935,"quick",2.14064487182028,1.64346932288037,0.975399991293204,1.0806050367714,1.11983657871635,1.53749613985374,4,4.11111111111111,4,4,4.03703703703704,4.02777777777778,4.27777777777778
"37",3476,"quick",2.57039998507612,1.56367872780585,1.17507996048088,0.914615817313969,1.13573676002642,1.82148790438608,4.66666666666667,4.22222222222222,4,4.38888888888889,4.2037037037037,4.31944444444444,4.30555555555556
"38",8237,"quick",1.9567310277459,0.891250099620861,1.29764467804623,1.13209734950387,1.05776944966095,1.57345949119595,3.66666666666667,3.2,4,4.25,3.81666666666667,3.77916666666667,4.43333333333333
"39",5158,"quick",2.33607773999429,1.80304188940107,1.3230400836744,1.45628334100507,1.21166576267756,2.12787804557935,4.66666666666667,4.68333333333333,5,4.83333333333333,4.83888888888889,4.79583333333333,4.76666666666667
"40",2260,"quick",1.95476953798657,1.07454399631363,1.04086573090872,1.87109546343884,0.968312694528503,1.86030874617238,4,3.44444444444444,5,3.88888888888889,4.11111111111111,4.08333333333333,4.33333333333333
"41",8534,"strategic",1.73254786087621,2.35280987266297,0.00668581205449674,1.58354505462033,1.46089284469012,0.0593742314457177,3.125,4.57142857142857,4.5,4.14583333333333,4.40575396825397,4.08556547619048,4.95238095238095
"42",8794,"strategic",2.1042352692165,2.15750419808033,0.0051248457659595,1.55161179728949,1.48822335379608,0.0443952279658177,3.625,4.3125,4.25,4.07916666666667,4.21388888888889,4.06666666666667,4.86666666666667
"43",2735,"strategic",2.0642130802642,1.84505318161107,0.0209118470492265,0.738432418065595,1.48459738757518,0.0469777973513848,3.625,3.91666666666667,3.375,4.23541666666667,3.84236111111111,3.78802083333333,3.91111111111111
"44",1732,"strategic",2.0640924066376,2.34401171803332,-0.00565954074653427,0.872292725576977,1.46199486847209,0.068888162689089,3.75,4.60416666666667,3.75,4.1875,4.18055555555556,4.07291666666667,3.66666666666667
"45",8240,"strategic",2.35392207727008,1.56793344193106,0.00831344610674611,1.46414720420106,1.3213980994224,0.0571644983947894,4.125,3.4375,4.125,3.8125,3.79166666666667,3.875,4
"46",7563,"strategic",2.45197255986254,2.36601996712289,0.0130925861208112,1.02587889984198,1.65522998444016,0.0508082441751432,4.25,4.75,3.875,4.625,4.41666666666667,4.375,3.5
"47",2558,"strategic",2.32478708869662,1.86467786622519,0.00396744504193923,1.64042593944991,1.58535989504468,0.0628238287792598,4.125,4.09924242424242,4.75,4.50952380952381,4.45292207792208,4.37094155844156,4.55411255411255
"48",1052,"strategic",2.50523308021118,2.43007922805683,0.0113246147971052,1.35137711166508,1.49433328405476,0.0722649824601491,4.5,4.75,4.375,4.36458333333333,4.49652777777778,4.49739583333333,4.47222222222222
"49",8232,"strategic",1.81233122264779,2.46426266559505,0.000151888366587768,1.66748555147948,1.39280004888751,0.0501669310192141,3.25,4.625,4.375,3.85416666666667,4.28472222222222,4.02604166666667,4.77777777777778
"50",5898,"strategic",2.33778554870016,2.87975887947649,-0.00121530340492657,1.87983747114476,1.22803261668849,0.055934836432608,4.125,5,4.5,3.45833333333333,4.31944444444444,4.27083333333333,4
"51",8806,"strategic",2.18153587751642,1.81104974883428,0.0067791677848707,1.72522597298282,1.32785759103617,0.0582938171460832,3.875,3.76041666666667,4.5,3.79970238095238,4.02003968253968,3.98377976190476,4.16666666666667
"52",7784,"strategic",2.11940046037087,1.85046978699231,0.00808117710309713,1.49887364070416,1.31595090619472,0.0549827124066399,3.75,3.78571428571429,4.125,3.78125,3.89732142857143,3.86049107142857,4.20833333333333
"53",4446,"strategic",2.10054946519116,2.1984011775765,0.0113431073453661,1.65644236921376,1.61191116416251,0.0385112752926677,3.625,4.45178571428571,4.5,4.375,4.4422619047619,4.23794642857143,4.48809523809524
"54",6505,"strategic",2.1574847201233,2.07903492092493,0.00370287254837508,1.47267836702696,1.36412283083644,0.0668708222933204,3.875,4.15833333333333,4.375,3.9375,4.15694444444444,4.08645833333333,4.22222222222222
"55",3011,"strategic",2.45915634299439,2.03783436560367,0.00329913799587836,1.00161451268223,1.38381963994711,0.0452063213690892,4.25,4.05,3.5,3.875,3.80833333333333,3.91875,3.66666666666667
"56",8193,"strategic",2.58037298083299,2.0275118360328,0.00837942086473607,1.41265754423691,1.53062168994169,0.0784004594191732,4.625,4.29166666666667,4.625,4.51041666666667,4.47569444444444,4.51302083333333,4.77777777777778
"57",729,"strategic",2.1767495633805,2.20927548244872,0.00729165213328815,0.985463304740143,1.35473543206367,0.0391072466345963,3.75,4.22916666666667,3.375,3.73958333333333,3.78125,3.7734375,3.33333333333333
"58",6098,"strategic",2.78446000061721,2.46623078726999,0.00418274002157114,1.2596754707993,1.64078021534133,0.0487953550538534,4.75,4.84375,4.125,4.51875,4.49583333333333,4.559375,4.65
"59",7334,"strategic",2.37485041120423,2.11984894025539,0.00466641093911637,1.19898789584996,1.54261439129918,0.0399368378232247,4.125,4.29166666666667,3.875,4.25,4.13888888888889,4.13541666666667,3.5
"60",5600,"strategic",2.35222196474907,2.00778012010311,0.0103877657866348,1.34453135702288,1.4359334121227,0.047658315259781,4.125,4.08333333333333,4,4.04166666666667,4.04166666666667,4.0625,3.38888888888889
"61",7751,"leading",3.52582624885436,0.600964059847901,1.96976716466337,2.30426022374904,3.07966593860724,0.215599341249127,4.38461538461539,4.71016483516483,4.38461538461539,4.08342490842491,4.39273504273504,4.39070512820513,4.43452380952381
"62",6982,"leading",3.71104719139223,0.523055163128984,2.22214748096584,1.98440338459291,2.61643861838481,0.36063372666345,4.76923076923077,4.26923076923077,3.92307692307692,4.15384615384615,4.11538461538461,4.27884615384615,4.61111111111111
"63",7312,"leading",3.23713517153516,0.50517939225167,2.02575227318288,2.24013545146031,2.86864924414071,0.073082612736118,3.92307692307692,4.23076923076923,4.07692307692308,4.01923076923077,4.10897435897436,4.0625,4.21666666666667
"64",2193,"leading",3.05269901469178,0.665135041757468,1.76827398242793,1.75284820003845,2.75519236317238,0.309431002759786,3.92307692307692,4.47692307692308,3.69230769230769,3.66538461538462,3.9448717948718,3.93942307692308,4.37777777777778
"65",1357,"leading",3.45690696816346,0.551534873324322,1.81631605696071,1.74723250407834,2.88424358834316,0.419455819599901,4.46153846153846,4.66666666666667,3.84615384615385,3.88461538461538,4.13247863247863,4.21474358974359,3.5
"66",6703,"leading",3.09443218794861,0.463863014455689,2.16747239717176,2.30755515916097,2.86378207676119,0.129285688583163,3.69230769230769,4.18589743589744,4.23076923076923,4.19230769230769,4.20299145299145,4.07532051282051,4.55555555555556
"67",6040,"leading",3.51488814231074,0.436444288365925,1.83025277128794,1.88980075862786,2.70591269490437,0.140415692464317,4.23076923076923,3.97179487179487,3.69230769230769,3.7,3.78803418803419,3.89871794871795,4.23809523809524
"68",2050,"leading",3.55699331483298,0.41238762326584,2.22742499762405,2.68528502483287,2.48311723808379,0.104935077639322,4.30769230769231,3.67970085470085,4.46153846153846,4.06923076923077,4.07015669515669,4.1295405982906,3.4
"69",850,"leading",2.70193302097484,0.617724171062609,2.29884393485526,1.80071420034057,2.70059342976595,0.123118853719983,3.30769230769231,4.14102564102564,3.61538461538462,4.21794871794872,3.99145299145299,3.82051282051282,3.66666666666667
"70",6694,"leading",2.6700129066692,0.171729376439487,2.26315432215664,2.28559200830968,2.64995825986034,0.195974156765407,3.38461538461538,3.7525641025641,4.15384615384615,4.12820512820513,4.01153846153846,3.85480769230769,4.48888888888889
"71",4759,"leading",3.23643880414868,0.654346090443812,2.38867761439205,2.3341196626737,3.14996144928784,0.181550878539441,3.92307692307692,4.76923076923077,4.38461538461539,4.60769230769231,4.58717948717949,4.42115384615385,4.71111111111111
"72",7321,"leading",3.68579435368666,0.47889080247459,2.49643204314374,2.67708358642728,2.98713502166574,0.301356899174174,4.61538461538461,4.53846153846154,4.84615384615385,4.68461538461538,4.68974358974359,4.67115384615385,4.66666666666667
"73",6242,"leading",3.15832422601057,0.420846696372562,2.17407692844884,2.22759763082298,2.97396685109575,0.234404309399162,3.92307692307692,4.41025641025641,4.30769230769231,4.26153846153846,4.32649572649573,4.22564102564103,4.08888888888889
"74",3565,"leading",3.1841770649941,0.613613769374511,1.8470534596475,1.8110218438041,2.60133128249625,0.203911773474634,3.92307692307692,4.10769230769231,3.61538461538462,3.66025641025641,3.79444444444444,3.82660256410256,3.26666666666667
"75",5286,"leading",2.85542722899658,0.289493964827181,1.45041035655989,1.83365519538433,2.53781097276784,0.149070816977886,3.46153846153846,3.69047619047619,3.46153846153846,3.14358974358974,3.43186813186813,3.43928571428571,3.53333333333333
"76",2395,"leading",3.57459909932445,0.349997635035561,2.30681553647486,2.27532065119194,2.63364873705485,0.172087077552879,4.30769230769231,3.88566177412331,4.15384615384615,4.23516483516484,4.09155758771143,4.14559126770665,4.35238095238095
"77",6644,"leading",3.67517578722392,0.501418879824202,2.56329161243133,2.34767103067098,3.09797782520909,0.257832315480275,4.53846153846154,4.65384615384615,4.46153846153846,4.80769230769231,4.64102564102564,4.61538461538461,5
"78",593,"leading",2.99062945106907,0.517668815464397,2.69615202845911,1.8938298354639,2.98344184062585,0.242969778534299,3.76923076923077,4.56410256410256,3.92307692307692,4.90384615384615,4.46367521367521,4.2900641025641,3.55555555555556
"79",7983,"leading",3.22133119414679,0.804893352930076,1.19554593158974,1.61749506151374,2.6329921477039,0.192237739357527,3.92307692307692,4.29615384615385,3.46153846153846,2.98717948717949,3.58162393162393,3.66698717948718,3.2
"80",4944,"leading",3.12168501585139,0.180806992509995,2.08827617267699,2.444326909004,2.77903036832261,0.199075452935819,3.84615384615385,3.96153846153846,4.30769230769231,4.04358974358974,4.1042735042735,4.03974358974359,4.16666666666667
"81",1481,"respect",2.91046813136076,2.43722463777433,1.16048139619554,2.10417330185439,0.701168253130522,1.22973023523879,4.75,4.9375,5,4.4,4.77916666666667,4.771875,3.61111111111111
"82",893,"respect",3.02461022889492,2.21828143272769,1.28989114888168,1.86733192645714,0.685478571157456,1.25777533032632,5,4.6875,4.75,4.58333333333333,4.67361111111111,4.75520833333333,4.52777777777778
"83",3859,"respect",2.25062398051087,1.92492402720654,1.22994206550206,2.20353439228178,0.636314443741962,1.19780898541226,4,4.25,5,4.35416666666667,4.53472222222222,4.40104166666667,4.5
"84",1381,"respect",2.20391236734589,2.45778980010703,1.19295220969364,2.06072558371592,0.723241564957127,1.2486581081342,4,5,5,4.5,4.83333333333333,4.625,4.22222222222222
"85",6456,"respect",3.02540939308708,2.37380626648207,0.91027525504001,1.83914773684788,0.648364588495095,1.09947528473875,4.75,4.65,4.5,3.80357142857143,4.31785714285714,4.42589285714286,4.55238095238095
"86",4212,"respect",3.03401207303076,2.18499626708241,1.34933378126048,2.04791945996485,0.738747859723584,1.24712087322249,5,4.625,5,4.72916666666667,4.78472222222222,4.83854166666667,4.91666666666667
"87",3099,"respect",3.02512479359681,1.95025549070687,1.28517452701557,1.47023106190275,0.639893105999801,1.09979780157875,4.75,4.125,4,4.27083333333333,4.13194444444444,4.28645833333333,4.30555555555556
"88",4513,"respect",2.63784296775414,2.35623709542549,1.10150624072834,1.90281489981726,0.531690406970106,1.15126100161393,4.25,4.58333333333333,4.5,4,4.36111111111111,4.33333333333333,5
"89",3962,"respect",2.19853587609064,2.23246351904914,1.27771925905058,1.48030422958319,0.629674804113386,1.09944240890032,3.75,4.46437728937729,4,4.25,4.23812576312576,4.11609432234432,4.4375
"90",8294,"respect",3.12096282294148,1.9731968922458,1.27221298436091,2.05925086992869,0.703538293926472,1.14858562612794,5,4.25,4.75,4.41666666666667,4.47222222222222,4.60416666666667,4.22222222222222
"91",3421,"respect",1.97539854377117,2.20721979658117,1.31177467953815,2.19252308618141,0.743493247705911,1.12228646076856,3.5,4.575,5,4.4625,4.67916666666667,4.384375,4.51111111111111
"92",1642,"respect",1.81982722313829,2.27225265050941,1.06139274141362,2.1917308090396,0.671201339015979,1.1801086842724,3.5,4.625,5,4.16666666666667,4.59722222222222,4.32291666666667,5
"93",5781,"respect",2.98688724405512,2.43851096537585,1.15969684728424,2.03489669715467,0.684997262833908,1.30052416959626,5,5,5,4.5,4.83333333333333,4.875,4.93333333333333
"94",6259,"respect",2.58748208366466,2.38795432013649,1.44064444310853,1.97392769057067,0.725088000006321,1.31987753549849,4.5,5,5,4.9375,4.97916666666667,4.859375,5
"95",4887,"respect",2.81578017003299,2.35008666720506,1.26462342575604,1.93244684457172,0.691343219012059,1.26440594266889,4.75,4.86160714285714,4.75,4.58333333333333,4.73164682539683,4.73623511904762,4.2962962962963
"96",3233,"respect",2.9625084642016,2.4946133562919,0.939565540753491,2.20558626914317,0.668356164227168,1.17075653966262,4.75,4.875,5,4,4.625,4.65625,4.16666666666667
"97",3753,"respect",2.95156215436309,2.38391068497292,1.42115668283165,1.74977856273757,0.705274285445262,1.34055564080283,5,5,4.75,4.91666666666667,4.88888888888889,4.91666666666667,3.80555555555556
"98",5651,"respect",3.12662191768344,1.77319720792142,1.29810753526098,1.41176821999159,0.648213306421657,1.14217256701916,5,4,4,4.33333333333333,4.11111111111111,4.33333333333333,3.66666666666667
"99",2433,"respect",2.53391585698838,1.99713770422118,1.48096905517976,1.7900160373409,0.697142362876889,1.19640679554415,4.25,4.375,4.5,4.75,4.54166666666667,4.46875,4.80555555555556
"100",3725,"respect",3.11453511237978,2.03815974876479,1.24049873968521,2.03752715768874,0.717331781445266,1.15586970417327,5,4.375,4.75,4.39285714285714,4.50595238095238,4.62946428571429,4.22619047619048
"101",2033,"compassion",2.41188055598776,1.83523262054213,1.6805274704969,1.69693443123169,1.40233671872442,2.28120798843734,4.83333333333333,4.27777777777778,4.66666666666667,4.575,4.50648148148148,4.58819444444444,3.93333333333333
"102",1279,"compassion",1.81177040007564,2.28464203448404,1.26600957449401,1.11415633646169,1.23373936208368,2.00584607010872,3.83333333333333,4.33333333333333,3.66666666666667,3.81944444444444,3.93981481481481,3.91319444444444,4.33333333333333
"103",5210,"compassion",2.1112247405586,1.69745399889546,1.82066077829973,1.50032411451051,1.4557337659042,2.25945702751671,4.5,4.22777777777778,4.5,4.75,4.49259259259259,4.49444444444444,4.11111111111111
"104",1912,"compassion",1.95283453865713,2.30248679558212,1.56885868280373,1.26513398451432,1.56679255920822,2.15135207110275,4,4.72222222222222,4.16666666666667,4.48611111111111,4.45833333333333,4.34375,3.95555555555556
"105",5796,"compassion",2.22800948066385,1.97314244197119,1.70791518225305,1.62409052790521,1.56778043331204,2.24457364832527,4.5,4.46825396825397,4.66666666666667,4.74166666666667,4.6255291005291,4.59414682539682,4.81904761904762
"106",4237,"compassion",1.88959547915597,2.10269823235468,1.38549589704773,1.93196831419124,1.57111928759032,2.10412087876908,4,4.47103174603175,5,4.25,4.57367724867725,4.43025793650794,4.73809523809524
"107",6266,"compassion",2.75083191992505,2.18192816464628,1.11847922382429,1.41891916814063,1.2647552532025,1.88929154300296,5,4.16666666666667,4,3.51666666666667,3.89444444444444,4.17083333333333,3.66666666666667
"108",5406,"compassion",1.73089586503387,2.13634991226691,1.30115572942016,1.10787240139615,1.38970125361598,1.88435670226609,3.66666666666667,4.22222222222222,3.66666666666667,3.83333333333333,3.90740740740741,3.84722222222222,3.33333333333333
"109",4647,"compassion",2.03279629477515,2.08332811023799,1.66881034524634,1.16132907099877,1.46721166124153,2.16331123701439,4.16666666666667,4.40833333333333,4,4.58333333333333,4.33055555555556,4.28958333333333,4.13333333333333
"110",2208,"compassion",1.71664930332543,2.08159732657016,1.63879513411005,0.698885628198613,1.55554039516422,1.74641519048728,3.5,4.2,3.16666666666667,4.25,3.87222222222222,3.77916666666667,4.8015873015873
"111",8170,"compassion",2.20658149906369,1.52301636724612,1.45445510534736,1.37702946696912,1.40111794560635,1.61418367111563,4,3.38888888888889,3.83333333333333,3.83333333333333,3.68518518518519,3.76388888888889,4.22222222222222
"112",8694,"compassion",1.70324952477729,2.17107020857989,0.989596387853585,1.80903048418365,1.29950507288286,1.74584938190516,3.5,4.12222222222222,4.33333333333333,3.27777777777778,3.91111111111111,3.80833333333333,4.45555555555556
"113",6966,"compassion",2.05585090291871,2.4395319029927,1.4292203917455,1.18236151977421,1.67415899792904,1.72797077139367,4,4.57222222222222,3.83333333333333,4.01388888888889,4.13981481481482,4.10486111111111,4.83333333333333
"114",4420,"compassion",2.28883946730658,2.05227242794402,1.202753513733,1.41379162505165,1.11989877239539,2.1503602930204,4.5,4.22222222222222,4,3.75,3.99074074074074,4.11805555555556,3.77777777777778
"115",5083,"compassion",1.78296673471053,1.74020852066034,1.57621565092986,1.20936338480732,1.34379919380966,1.72967207674661,3.5,3.75,3.66666666666667,4,3.80555555555556,3.72916666666667,4
"116",8030,"compassion",1.96959854816776,2.3396787115862,1.43653059828155,1.35606703894879,1.41544669652369,2.06571175573316,4,4.54166666666667,4.16666666666667,4.15,4.28611111111111,4.21458333333333,4.46666666666667
"117",3377,"compassion",1.72123805788673,2.41500281280969,1.44192518808732,1.87539820600933,1.60695788931681,2.1710014687166,3.83333333333333,4.83333333333333,5,4.34027777777778,4.72453703703704,4.50173611111111,4.78571428571429
"118",5053,"compassion",2.46502236738791,2.02674405807766,1.38064767790344,1.07219990366828,1.3682371195043,2.1799558931963,4.83333333333333,4.38888888888889,3.83333333333333,4.16666666666667,4.12962962962963,4.30555555555556,4.25
"119",5916,"compassion",2.15627076549505,2.31089570273815,1.49169690407026,1.84787740408312,1.54243667385288,2.26723654216106,4.5,4.77777777777778,5,4.47222222222222,4.75,4.6875,4.22222222222222
"120",2023,"compassion",2.43163733302931,2.3426112029339,1.14973390424913,1.65028079877014,1.30903762106764,2.24356502862922,4.83333333333333,4.61111111111111,4.5,3.88888888888889,4.33333333333333,4.45833333333333,3.95555555555556
